"AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
28.0524997711182,28.5750007629395,27.9675006866455,28.3624992370605,297141200,25.6781978607178
28.4174995422363,28.8425006866455,28.4150009155273,28.8024997711182,200888000,26.0765571594238
28.3449993133545,28.5450000762939,28.1299991607666,28.3500003814697,201384800,25.6668853759766
28.4074993133545,28.6800003051758,28.3250007629395,28.5799999237061,143026800,25.8751163482666
28.3125,28.875,28.0925006866455,28.75,200878000,26.0290222167969
29.1100006103516,29.1725006103516,28.5049991607666,28.6774997711182,224607600,25.9633903503418
28.4624996185303,28.6424999237061,28.1100006103516,28.1100006103516,208436000,25.449592590332
28.2075004577637,28.3775005340576,26.9650001525879,27.2649993896484,293461600,24.6845684051514
27.5424995422363,27.8850002288818,27.1825008392334,27.5750007629395,265892000,24.9652328491211
27.2674999237061,27.4050006866455,26.8274993896484,27.3950004577637,255716400,24.8022747039795
27.0025005340576,27.7525005340576,26.8875007629395,27.5949993133545,232079200,24.9833335876465
27.4699993133545,27.8425006866455,27.2674999237061,27.6949996948242,208258800,25.0738697052002
27.6574993133545,27.9349994659424,27.4424991607666,27.8274993896484,192787200,25.1938343048096
27.9349994659424,27.9424991607666,27.3525009155273,27.6949996948242,187062400,25.0738697052002
27.5475006103516,27.5475006103516,27.0524997711182,27.375,247918400,24.7841548919678
27.5,28.0699996948242,27.3724994659424,28.0300006866455,211064400,25.3771648406982
28.1825008392334,28.1875,27.8600006103516,27.8999996185303,121868800,25.2594699859619
27.7049999237061,28.1124992370605,27.6700000762939,27.9475002288818,132197200,25.3024711608887
27.8225002288818,27.8799991607666,27.3899993896484,27.5524997711182,177849600,24.944860458374
27.7325000762939,28.0249996185303,27.6224994659424,27.9650001525879,150694000,25.3183174133301
27.9449996948242,28,27.6324996948242,27.7600002288818,156930400,25.1327152252197
27.7000007629395,27.9375,27.5275001525879,27.9325008392334,119036800,25.2888965606689
27.8349990844727,28.5424995422363,27.7049999237061,28.4424991607666,195871200,25.7506256103516
28.5,28.8950004577637,28.4249992370605,28.4400005340576,167180800,25.7483711242676
28.5825004577637,28.875,28.5249996185303,28.875,166616400,26.1421985626221
29.1749992370605,29.8075008392334,29.0825004577637,29.7700004577637,237467600,26.9524917602539
29.5200004577637,29.5324993133545,28.7299995422363,28.8199996948242,265335200,26.0923976898193
28.8500003814697,29.1350002288818,28.4974994659424,28.6375007629395,279537600,25.9271755218506
29.2325000762939,29.8250007629395,29.0149993896484,29.8174991607666,342205600,26.995491027832
29.6749992370605,30.1725006103516,29.5674991607666,30.1324996948242,204909200,27.2806835174561
30.2474994659424,30.3050003051758,29.8624992370605,29.875,197461200,27.047550201416
30.2000007629395,30.3400001525879,29.9025001525879,30.2950000762939,128813200,27.4277973175049
30.1975002288818,30.8724994659424,30.1749992370605,30.6424999237061,182076000,27.7424201965332
30.7824993133545,30.9549999237061,30.4050006866455,30.5,179544400,27.6134033203125
30.4624996185303,30.6725006103516,30.0450000762939,30.2299995422363,158210800,27.4861030578613
30.2775001525879,30.4524993896484,30.1550006866455,30.2649993896484,132169200,27.5179328918457
30.2399997711182,30.4524993896484,30.0125007629395,30.1424999237061,135485600,27.4065494537354
29.2250003814697,29.5174999237061,29.0149993896484,29.1924991607666,236511600,26.5427742004395
29.0925006866455,29.3549995422363,28.8024997711182,29.0275001525879,180872000,26.3927478790283
29.0650005340576,29.2049999237061,28.9125003814697,28.9300003051758,130102400,26.3041038513184
28.7999992370605,28.8924999237061,28.0674991607666,28.0849990844727,183249600,25.5358028411865
27.8449993133545,28.5599994659424,27.75,28.5450000762939,152426800,25.9540519714355
28.7299995422363,28.7625007629395,28.3299999237061,28.4225006103516,110467600,25.8426685333252
28.9400005340576,29.3724994659424,28.875,29.3225002288818,186698800,26.6609802246094
29.4099998474121,29.9375,29.1900005340576,29.6949996948242,173183200,26.9996681213379
29.7999992370605,29.9799995422363,29.7124996185303,29.8250007629395,137148400,27.1178684234619
29.8174991607666,29.9325008392334,29.3349990844727,29.4375,129930000,26.7655410766602
29.3325004577637,29.8374996185303,29.2800006866455,29.7199993133545,171212800,27.0223979949951
29.8024997711182,29.8075008392334,29.4799995422363,29.5074996948242,85553200,26.8291854858398
29.5725002288818,29.6025009155273,29.3999996185303,29.4524993896484,52185600,26.779182434082
29.4974994659424,29.8525009155273,29.4375,29.5750007629395,156721200,26.8905658721924
29.6875,29.7024993896484,29.2150001525879,29.3349990844727,139409600,26.6723480224609
29.3349990844727,29.5275001525879,29.0200004577637,29.0699996948242,133546400,26.4313926696777
29.1375007629395,29.1975002288818,28.5550003051758,28.7999992370605,166278000,26.1859111785889
28.8225002288818,29.8125,28.7775001525879,29.7574996948242,231108000,27.0564956665039
29.7450008392334,29.9650001525879,29.4524993896484,29.5699996948242,128336800,26.8860130310059
29.3799991607666,29.6499996185303,29.2150001525879,29.5575008392334,137238000,26.8746547698975
29.4099998474121,29.4225006103516,28.7700004577637,28.9050006866455,185445600,26.2813758850098
29.0100002288818,29.2350006103516,28.8775005340576,29.0424995422363,116850800,26.4063911437988
28.7975006103516,28.8474998474121,28.2124996185303,28.2950000762939,187544800,25.7267417907715
28.0450000762939,28.1700000762939,27.4475002288818,28.1200008392334,257274800,25.567626953125
27.9850006103516,28.2000007629395,27.5874996185303,27.6224994659424,213292400,25.1152820587158
27.7674999237061,27.9974994659424,27.2000007629395,27.8349990844727,224954000,25.3084945678711
28.0049991607666,28.0625,27.2450008392334,27.2450008392334,179091200,24.7720470428467
